gameid,url,league,split,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,"team kpm",ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,"dragons (type unknown)",elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,"earned gpm",earnedgoldshare,goldspent,gspd,"total cs",minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
ESPORTSTMNT01/1405601,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405601?gameHash=5637a3a2ff5fc937,LCK,2020-2,"2020-06-21 06:53:15",1,10.11,7,Red,jng,Clid,Gen.G,Graves,Varus,Karma,Yuumi,"Tahm Kench",Braum,2436,0,0,2,4,6,13,0,0,0,0,0,0,0,0,0.1478,0.4680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,10489,258.3498,0.179012,21,0.5172,22,0.5419,19,69,1.6995,12778,7533,185.5419,0.179592,12710,NULL,239,59,180,106,21,5.8867,3432,3542,58,4104,3572,67,-672,-30,-9,5392,5793,100,5584,5167,96,-192,626,4
ESPORTSTMNT01/1405601,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405601?gameHash=5637a3a2ff5fc937,LCK,2020-2,"2020-06-21 06:53:15",1,10.11,8,Red,mid,Bdd,Gen.G,Azir,Varus,Karma,Yuumi,"Tahm Kench",Braum,2436,0,1,2,0,6,13,0,0,0,0,0,0,0,1,0.1478,0.4680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,13749,338.6453,0.234649,21,0.5172,18,0.4433,13,61,1.5025,15644,10399,256.1330,0.24792,16025,NULL,352,316,36,27,0,8.6700,3728,4415,84,4127,4084,79,-399,331,5,5733,7518,142,6243,7173,135,-510,345,7
ESPORTSTMNT01/1405601,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405601?gameHash=5637a3a2ff5fc937,LCK,2020-2,"2020-06-21 06:53:15",1,10.11,9,Red,bot,Ruler,Gen.G,Aphelios,Varus,Karma,Yuumi,"Tahm Kench",Braum,2436,0,2,3,0,6,13,0,0,0,0,0,0,0,0,0.1478,0.4680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,19832,488.4729,0.338465,15,0.3695,22,0.5419,6,66,1.6256,17774,12529,308.5961,0.298701,18635,NULL,418,364,54,43,5,10.2956,3739,3586,91,3575,3635,88,164,-49,3,6873,6438,157,5452,5817,148,1421,621,9
ESPORTSTMNT01/1405601,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405601?gameHash=5637a3a2ff5fc937,LCK,2020-2,"2020-06-21 06:53:15",1,10.11,10,Red,sup,Kellin,Gen.G,Bard,Varus,Karma,Yuumi,"Tahm Kench",Braum,2436,0,0,2,2,6,13,0,0,0,0,0,0,0,0,0.1478,0.4680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,2971,73.1773,0.0507049,119,2.9310,19,0.4680,30,157,3.8670,8367,3122,76.8966,0.0744302,8050,NULL,42,42,0,0,0,1.0345,2134,2362,10,2290,2945,13,-156,-583,-3,3204,3452,23,3462,4310,25,-258,-858,-2
ESPORTSTMNT01/1405601,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405601?gameHash=5637a3a2ff5fc937,LCK,2020-2,"2020-06-21 06:53:15",1,10.11,100,Blue,team,,"KT Rolster",,Sett,Kalista,Zoe,Thresh,Nautilus,2436,1,13,6,29,13,6,2,0,0,0,1,NULL,NULL,NULL,0.3202,0.4680,1,4,2,4,2,0,3,0,1,0,0,0,0,0,2,0,0,1,0,7,6,0,0,1,0,68158,1678.7685,NULL,156,3.8424,90,2.2167,63,358,8.8177,69295,43070,1060.8374,NULL,63125,-0.0942677,NULL,1020,243,185,8,31.1084,16907,18085,301,17210,18644,320,-303,-559,-19,25044,28543,492,27055,30647,544,-2011,-2104,-52
ESPORTSTMNT01/1405601,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405601?gameHash=5637a3a2ff5fc937,LCK,2020-2,"2020-06-21 06:53:15",1,10.11,200,Red,team,,Gen.G,,Varus,Karma,Yuumi,"Tahm Kench",Braum,2436,0,6,13,7,6,13,0,0,0,0,0,NULL,NULL,NULL,0.1478,0.4680,0,2,4,2,4,0,1,1,0,0,0,0,1,2,0,1,1,0,1,6,7,1,1,0,1,58594,1443.2020,NULL,188,4.6305,85,2.0936,74,381,9.3842,68170,41945,1033.1281,NULL,69370,0.0942677,NULL,1036,297,193,27,32.8325,17210,18644,320,16907,18085,301,303,559,19,27055,30647,544,25044,28543,492,2011,2104,52
ESPORTSTMNT01/1415597,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415597?gameHash=c19509f3bfd4f16b,PCS,2020-2,"2020-06-21 08:41:50",1,10.11,1,Blue,top,Shinsekai,Resurgence,Sion,Yuumi,Graves,Azir,Zoe,Sett,1851,0,1,4,0,4,14,0,0,0,0,0,0,0,0,0.1297,0.5186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,4747,153.8736,0.169348,12,0.3890,3,0.0972,8,22,0.7131,8402,4350,141.0049,0.163838,7550,NULL,166,160,6,6,0,5.3809,2544,4083,49,2779,4210,63,-235,-127,-14,4031,6199,84,4838,6814,112,-807,-615,-28
ESPORTSTMNT01/1415597,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415597?gameHash=c19509f3bfd4f16b,PCS,2020-2,"2020-06-21 08:41:50",1,10.11,2,Blue,jng,Epic,Resurgence,"Lee Sin",Yuumi,Graves,Azir,Zoe,Sett,1851,0,1,1,3,4,14,0,0,0,0,1,0,1,0,0.1297,0.5186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,4272,138.4765,0.152403,16,0.5186,5,0.1621,9,32,1.0373,9084,5032,163.1118,0.189523,9000,NULL,151,23,128,90,9,4.8947,3236,2726,49,2900,2982,56,336,-256,-7,5041,4196,71,4545,4606,82,496,-410,-11
ESPORTSTMNT01/1415597,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415597?gameHash=c19509f3bfd4f16b,PCS,2020-2,"2020-06-21 08:41:50",1,10.11,3,Blue,mid,Raven,Resurgence,Karma,Yuumi,Graves,Azir,Zoe,Sett,1851,0,1,2,2,4,14,0,0,0,0,0,0,0,0,0.1297,0.5186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,4023,130.4052,0.14352,17,0.5511,2,0.0648,9,28,0.9076,10138,6086,197.2771,0.229217,10125,NULL,243,235,8,8,0,7.8768,3502,4652,85,3189,4736,87,313,-84,-2,5669,7322,137,5383,7846,142,286,-524,-5
ESPORTSTMNT01/1415597,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415597?gameHash=c19509f3bfd4f16b,PCS,2020-2,"2020-06-21 08:41:50",1,10.11,4,Blue,bot,Mexi,Resurgence,Aphelios,Yuumi,Graves,Azir,Zoe,Sett,1851,0,0,2,4,4,14,0,0,0,0,1,0,1,0,0.1297,0.5186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,11765,381.3614,0.419714,10,0.3241,9,0.2917,4,34,1.1021,12362,8310,269.3679,0.312975,11400,NULL,303,279,24,10,5,9.8217,3742,3285,87,3269,2838,85,473,447,2,6462,5527,145,6214,5812,146,248,-285,-1
